timestamp,round,key,value,old_prior,new_prior,reward,alpha,mode,exp_prior,sample_prior
2025-09-06T11:30:13.382941,1,"('ComputePathToState#1', 'ComputePathToState', 'planning_pipeline')",pilz_industrial_motion_planner,-,-,0.879,-,bayes,0.626494,0.726922
2025-09-06T11:31:20.639568,1,"('ComputePathToState#1', 'ComputePathToState', 'planning_pipeline')",ompl,-,-,0.904,-,bayes,0.634684,0.917340
2025-09-06T11:31:20.641257,1,"('ComputePathToState#1', 'ComputePathToState', 'planning_pipeline')",ompl,-,-,0.904,-,bayes,0.702026,0.887729
2025-09-06T11:31:20.641345,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",BKPIECEkConfigDefault,-,-,0.904,-,bayes,0.634684,0.901522
2025-09-06T11:31:20.642751,1,"('ComputePathToState#1', 'ComputePathToState', 'planning_pipeline')",pilz_industrial_motion_planner,-,-,0.879,-,bayes,0.689741,0.805548
2025-09-06T11:31:20.642833,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",PTP,-,-,0.879,-,bayes,0.626494,0.834577
2025-09-06T11:32:33.560736,1,"('ComputePathToState#1', 'ComputePathToState', 'planning_pipeline')",ompl,-,-,0.912,-,bayes,0.743974,0.690039
2025-09-06T11:32:33.560878,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",KPIECEkConfigDefault,-,-,0.912,-,bayes,0.637256,0.097153
2025-09-06T11:32:33.561939,1,"('ComputePathToState#1', 'ComputePathToState', 'planning_pipeline')",pilz_industrial_motion_planner,-,-,0.879,-,bayes,0.727689,0.421754
2025-09-06T11:32:33.561979,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",PTP,-,-,0.879,-,bayes,0.689741,0.459815
2025-09-06T11:33:31.729335,1,"('ComputePathToState#1', 'ComputePathToState', 'planning_pipeline')",ompl,-,-,0.423,-,bayes,0.690522,0.820131
2025-09-06T11:33:31.729429,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTConnectkConfigDefault,-,-,0.423,-,bayes,0.474420,0.257471
2025-09-06T11:33:31.730194,1,"('ComputePathToState#1', 'ComputePathToState', 'planning_pipeline')",pilz_industrial_motion_planner,-,-,0.879,-,bayes,0.752987,0.857790
2025-09-06T11:33:31.730246,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",PTP,-,-,0.879,-,bayes,0.727689,0.649433
2025-09-06T11:33:31.730274,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.12;0.0;0.0;0.0;0.0,-,-,0.879,-,bayes,0.626494,0.810861
2025-09-06T11:34:34.417252,1,"('ComputePathToState#1', 'ComputePathToState', 'planning_pipeline')",pilz_industrial_motion_planner,-,-,0.918,-,bayes,0.776518,0.572162
