timestamp,round,key,value,old_prior,new_prior,reward,alpha,mode,exp_prior,sample_prior
2025-09-11T22:37:59.996024,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",BKPIECEkConfigDefault,-,-,0.646,-,bayes,0.548824,0.266748
2025-09-11T22:40:00.584467,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",KPIECEkConfigDefault,-,-,0.667,-,bayes,0.555664,0.356753
2025-09-11T22:42:00.249533,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTConnectkConfigDefault,-,-,0.725,-,bayes,0.574879,0.327989
2025-09-11T22:42:46.472202,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTkConfigDefault,-,-,0.200,-,bayes,0.400000,0.064300
2025-09-11T22:45:00.330963,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",LBKPIECEkConfigDefault,-,-,0.638,-,bayes,0.546078,0.395398
2025-09-11T22:45:42.267104,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",ESTkConfigDefault,-,-,0.200,-,bayes,0.400000,0.530822
2025-09-11T22:46:57.012209,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",PRMkConfigDefault,-,-,0.937,-,bayes,0.645693,0.870351
2025-09-11T22:47:34.813343,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",PRMstarkConfigDefault,-,-,0.251,-,bayes,0.416993,0.946220
2025-09-11T22:48:49.957826,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",PTP,-,-,0.932,-,bayes,0.644149,0.296377
2025-09-11T22:51:14.391294,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTstarkConfigDefault,-,-,0.670,-,bayes,0.556615,0.587645
2025-09-11T22:51:52.918981,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",SBLkConfigDefault,-,-,0.246,-,bayes,0.415360,0.663136
2025-09-11T22:53:27.883592,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",TRRTkConfigDefault,-,-,0.726,-,bayes,0.575240,0.386081
2025-09-11T22:54:07.482322,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",PRMkConfigDefault,-,-,0.227,-,bayes,0.541080,0.582595
2025-09-11T22:54:47.023421,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",PTP,-,-,0.231,-,bayes,0.540771,0.371334
2025-09-11T22:55:52.226697,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTConnectkConfigDefault,-,-,0.916,-,bayes,0.660198,0.993636
2025-09-11T22:56:40.613333,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTConnectkConfigDefault,-,-,0.446,-,bayes,0.617426,0.664012
2025-09-11T22:56:40.613421,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.115;0.0;0.0;0.0;0.0,-,-,0.446,-,bayes,0.482113,0.450710
2025-09-11T22:56:40.614116,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",BKPIECEkConfigDefault,-,-,0.751,-,bayes,0.599391,0.920063
2025-09-11T22:58:26.489365,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",KPIECEkConfigDefault,-,-,0.668,-,bayes,0.583679,0.617000
2025-09-11T23:00:51.966247,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",BKPIECEkConfigDefault,-,-,0.661,-,bayes,0.611774,0.502429
2025-09-11T23:00:51.966366,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.115;0.0;0.0;0.0;0.0,-,-,0.661,-,bayes,0.526911,0.674495
2025-09-11T23:03:17.310103,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",TRRTkConfigDefault,-,-,0.679,-,bayes,0.601182,0.464360
2025-09-11T23:04:32.748044,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",BKPIECEkConfigDefault,-,-,0.930,-,bayes,0.664744,0.836783
2025-09-11T23:04:32.748176,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.11;0.0;0.0;0.0;0.0,-,-,0.930,-,bayes,0.643198,0.957046
2025-09-11T23:05:10.865949,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",BKPIECEkConfigDefault,-,-,0.246,-,bayes,0.604900,0.783042
2025-09-11T23:05:10.866056,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.10;0.0;0.0;0.0;0.0,-,-,0.246,-,bayes,0.415280,0.552567
2025-09-11T23:07:39.422877,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",KPIECEkConfigDefault,-,-,0.693,-,bayes,0.605565,0.484786
2025-09-11T23:07:39.423004,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.115;0.0;0.0;0.0;0.0,-,-,0.693,-,bayes,0.560151,0.782951
2025-09-11T23:08:55.396908,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",KPIECEkConfigDefault,-,-,0.941,-,bayes,0.661400,0.673302
2025-09-11T23:08:55.397029,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.11;0.0;0.0;0.0;0.0,-,-,0.941,-,bayes,0.717542,0.735999
2025-09-11T23:09:33.969235,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",KPIECEkConfigDefault,-,-,0.242,-,bayes,0.601512,0.511910
2025-09-11T23:09:33.969334,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.10;0.0;0.0;0.0;0.0,-,-,0.242,-,bayes,0.372005,0.641954
2025-09-11T23:10:25.109148,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTConnectkConfigDefault,-,-,0.928,-,bayes,0.669268,0.806439
2025-09-11T23:10:25.109237,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.11;0.0;0.0;0.0;0.0,-,-,0.928,-,bayes,0.759729,0.547424
2025-09-11T23:11:17.975360,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTConnectkConfigDefault,-,-,0.916,-,bayes,0.704510,0.703646
2025-09-11T23:11:17.975474,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.10;0.0;0.0;0.0;0.0,-,-,0.916,-,bayes,0.480796,0.629057
2025-09-11T23:13:56.582189,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTConnectkConfigDefault,-,-,0.668,-,bayes,0.699949,0.664096
2025-09-11T23:13:56.582288,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.105;0.0;0.0;0.0;0.0,-,-,0.668,-,bayes,0.556009,0.941717
2025-09-11T23:14:37.479640,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTConnectkConfigDefault,-,-,0.200,-,bayes,0.644399,0.565410
2025-09-11T23:14:37.479762,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.15;0.0;0.0;0.0;0.0,-,-,0.200,-,bayes,0.400000,0.485504
2025-09-11T23:15:52.651581,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTstarkConfigDefault,-,-,0.943,-,bayes,0.653310,0.359553
2025-09-11T23:17:48.308531,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTstarkConfigDefault,-,-,0.741,-,bayes,0.670820,0.859895
2025-09-11T23:17:48.308658,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.115;0.0;0.0;0.0;0.0,-,-,0.741,-,bayes,0.590270,0.423000
2025-09-11T23:18:00.724686,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",RRTstarkConfigDefault,-,-,0.000,-,bayes,0.559017,0.436903
2025-09-11T23:18:00.724849,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.11;0.0;0.0;0.0;0.0,-,-,0.000,-,bayes,0.633107,0.790800
2025-09-11T23:19:49.364227,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",LBKPIECEkConfigDefault,-,-,0.795,-,bayes,0.608259,0.465773
2025-09-11T23:21:58.429288,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",LBKPIECEkConfigDefault,-,-,0.200,-,bayes,0.526607,0.509916
2025-09-11T23:21:58.429385,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.115;0.0;0.0;0.0;0.0,-,-,0.200,-,bayes,0.534517,0.760916
2025-09-11T23:23:09.683708,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",TRRTkConfigDefault,-,-,0.935,-,bayes,0.667922,0.697679
2025-09-11T23:23:09.683847,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.115;0.0;0.0;0.0;0.0,-,-,0.935,-,bayes,0.584563,0.516420
2025-09-11T23:23:48.484250,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",TRRTkConfigDefault,-,-,0.251,-,bayes,0.598469,0.894820
2025-09-11T23:23:48.484388,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.11;0.0;0.0;0.0;0.0,-,-,0.251,-,bayes,0.578549,0.763788
2025-09-11T23:24:27.060083,1,"('ComputePathToState#1', 'ComputePathToState', 'planner_id')",BKPIECEkConfigDefault,-,-,0.251,-,bayes,0.560645,0.582880
2025-09-11T23:24:27.060178,1,"('UpdatePose#1', 'UpdatePose', 'update_relative_pose')",0.0;0.0;0.105;0.0;0.0;0.0;0.0,-,-,0.251,-,bayes,0.479722,0.583398
